,Team,Country_ID,Year,Season,City,Sport,Event,Medal
261421,United States,USA,2010,Winter,Vancouver,Freestyle Skiing,Freestyle Skiing Men's Moguls,Bronze
261423,Canada,CAN,1932,Winter,Lake Placid,Figure Skating,Figure Skating Men's Singles,Bronze
261438,United States,USA,1984,Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,Silver
261439,United States,USA,1988,Summer,Seoul,Water Polo,Water Polo Men's Water Polo,Silver
261443,United States,USA,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Backstroke,Silver
261444,United States,USA,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
261450,United States,USA,1976,Summer,Montreal,Diving,Diving Women's Platform,Bronze
261463,Moseley Wanderers,GBR,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Silver
261469,Great Britain,GBR,1908,Summer,London,Athletics,"Athletics Men's 1,500 metres",Silver
261470,Great Britain,GBR,1908,Summer,London,Athletics,"Athletics Men's 3 mile, Team",Gold
261471,United States,USA,1924,Summer,Paris,Rowing,Rowing Men's Coxed Pairs,Bronze
261478,Roehampton-1,GBR,1908,Summer,London,Polo,Polo Men's Polo,Gold
261483,Great Britain,GBR,1948,Summer,London,Rowing,Rowing Men's Coxless Pairs,Gold
261484,United States,USA,1936,Summer,Berlin,Boxing,Boxing Men's Bantamweight,Silver
261486,Great Britain,GBR,1920,Summer,Antwerpen,Athletics,"Athletics Men's 10,000 metres",Bronze
261488,Great Britain,GBR,1920,Summer,Antwerpen,Athletics,"Athletics Men's Cross-Country, Team",Silver
261495,Caprice,CAN,1932,Summer,Los Angeles,Sailing,Sailing Mixed 6 metres,Bronze
261496,United States,USA,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Gold
261533,New Zealand,NZL,1972,Summer,Munich,Rowing,Rowing Men's Coxed Eights,Gold
261534,New Zealand,NZL,1976,Summer,Montreal,Rowing,Rowing Men's Coxed Eights,Bronze
261536,United States,USA,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
261538,Australia,AUS,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
261540,Australia,AUS,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
261542,Australia,AUS,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
261547,Great Britain,GBR,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Silver
261558,Great Britain,GBR,2012,Summer,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
261563,Great Britain,GBR,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
261567,Great Britain,GBR,2012,Summer,London,Shooting,Shooting Men's Double Trap,Gold
