,Team,Country_ID,Year,Season,City,Sport,Event,Medal
2480,Pakistan,PAK,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Gold
2489,Pakistan,PAK,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,Gold
2493,Pakistan,PAK,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,Bronze
2502,Pakistan,PAK,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,Gold
2503,Pakistan,PAK,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Gold
2506,Pakistan,PAK,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,Gold
2507,Pakistan,PAK,1972,Summer,Munich,Hockey,Hockey Men's Hockey,Silver
2511,Pakistan,PAK,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,Bronze
2532,Lucky Girl-1,FIN,1912,Summer,Stockholm,Sailing,Sailing Mixed 8 metres,Bronze
2557,Finland,FIN,2002,Winter,Salt Lake City,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Silver
2560,Finland,FIN,2006,Winter,Torino,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Silver
2576,Mutafo,GER,1964,Summer,Tokyo,Sailing,Sailing Mixed Three Person Keelboat,Silver
2577,East Germany,GDR,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Eights,Gold
2579,United States,USA,2004,Summer,Athina,Rowing,Rowing Men's Coxed Eights,Gold
2584,Chile,CHI,1956,Summer,Melbourne,Athletics,Athletics Women's Javelin Throw,Silver
2587,Germany,GER,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Eights,Silver
2615,Italy,ITA,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Silver
2616,Italy,ITA,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Bronze
2618,Argentina,ARG,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Silver
2619,Argentina,ARG,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Bronze
2620,Argentina,ARG,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,Bronze
2622,Switzerland-1,SUI,1936,Winter,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh Men's Four,Silver
2635,Italy,ITA,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Silver
2637,Austria,AUT,1924,Summer,Paris,Weightlifting,Weightlifting Men's Heavyweight,Silver
2638,Germany,GER,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze
2645,Japan,JPN,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Team All-Around,Silver
2646,Japan,JPN,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Floor Exercise,Silver
2653,Japan,JPN,1960,Summer,Roma,Gymnastics,Gymnastics Men's Team All-Around,Gold
2654,Japan,JPN,1960,Summer,Roma,Gymnastics,Gymnastics Men's Floor Exercise,Gold
2663,Japan,JPN,1992,Summer,Barcelona,Gymnastics,Gymnastics Men's Team All-Around,Bronze
2672,Japan,JPN,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Bronze
2674,Australia,AUS,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Eights,Bronze
2688,Great Britain,GBR,1996,Summer,Atlanta,Sailing,Sailing Mixed One Person Dinghy,Silver
2689,Great Britain,GBR,2000,Summer,Sydney,Sailing,Sailing Mixed One Person Dinghy,Gold
2690,Great Britain,GBR,2004,Summer,Athina,Sailing,Sailing Men's One Person Dinghy,Gold
2691,Great Britain,GBR,2008,Summer,Beijing,Sailing,Sailing Mixed One Person Dinghy,Gold
2692,Great Britain,GBR,2012,Summer,London,Sailing,Sailing Men's One Person Heavyweight Dinghy,Gold
2696,United States,USA,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Gold
2700,Great Britain,GBR,1920,Summer,Antwerpen,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
2715,Great Britain,GBR,1968,Summer,Mexico City,Sailing,Sailing Mixed 5.5 metres,Bronze
2748,Canada,CAN,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,Silver
2749,Great Britain-1,GBR,1912,Summer,Stockholm,Tennis,"Tennis Mixed Doubles, Covered Courts",Silver
2753,Australia,AUS,1992,Summer,Barcelona,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
2754,Australia,AUS,1996,Summer,Atlanta,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
2756,Australia,AUS,2000,Summer,Sydney,Cycling,Cycling Men's Madison,Gold
2761,Union des Socits Franais de Sports Athletiques,FRA,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Gold
2772,Ukraine,UKR,2008,Summer,Beijing,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
2787,Greece,GRE,2000,Summer,Sydney,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
2795,Nigeria,NGR,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze
2798,Cuba,CUB,1992,Summer,Barcelona,Baseball,Baseball Men's Baseball,Gold
2799,Cuba,CUB,1996,Summer,Atlanta,Baseball,Baseball Men's Baseball,Gold
2800,Cuba,CUB,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Silver
2802,Nigeria,NGR,2008,Summer,Beijing,Football,Football Men's Football,Silver
2810,Canada,CAN,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
2815,Nigeria,NGR,1996,Summer,Atlanta,Athletics,Athletics Women's Long Jump,Gold
2826,Great Britain,GBR,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
2829,Great Britain,GBR,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres Hurdles,Bronze
2830,Great Britain,GBR,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
2838,Japan,JPN,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
2840,Japan,JPN,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze
2846,Turkey,TUR,1948,Summer,London,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
2848,Japan,JPN,1992,Winter,Albertville,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze
2869,Turkey,TUR,1956,Summer,Melbourne,Wrestling,"Wrestling Men's Flyweight, Freestyle",Bronze
2871,Turkey,TUR,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Silver
2880,Turkey,TUR,1972,Summer,Munich,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
2904,Sweden,SWE,1948,Summer,London,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Gold
2905,Sweden,SWE,1952,Summer,Helsinki,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Silver
2906,Bissbi,SWE,1932,Summer,Los Angeles,Sailing,Sailing Mixed 6 metres,Gold
2911,United States,USA,1996,Summer,Atlanta,Football,Football Women's Football,Gold
2926,Turkey,TUR,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
2929,Soviet Union,URS,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,Gold
2934,Russia,RUS,1998,Winter,Nagano,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Silver
2936,Russia,RUS,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Bronze
2938,Russia,RUS,2006,Winter,Torino,Biathlon,Biathlon Women's 10 kilometres Pursuit,Bronze
2940,Russia,RUS,2006,Winter,Torino,Biathlon,Biathlon Women's 15 kilometres,Bronze
2941,Russia,RUS,2006,Winter,Torino,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold
2955,Uzbekistan,UZB,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Bantamweight,Bronze
2961,Russia,RUS,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team",Gold
2962,Russia,RUS,2008,Summer,Beijing,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver
2965,Bulgaria,BUL,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
2968,Soviet Union,URS,1980,Summer,Moskva,Hockey,Hockey Women's Hockey,Bronze
2978,Soviet Union,URS,1960,Summer,Roma,Rowing,Rowing Men's Coxless Fours,Bronze
2984,Pakistan,PAK,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,Gold
2988,Pakistan,PAK,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,Gold
3005,Uganda,UGA,1972,Summer,Munich,Athletics,Athletics Men's 400 metres Hurdles,Gold
3011,Soviet Union,URS,1972,Summer,Munich,Water Polo,Water Polo Men's Water Polo,Gold
3013,Soviet Union,URS,1980,Summer,Moskva,Water Polo,Water Polo Men's Water Polo,Gold
3020,United States,USA,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
3021,United States,USA,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Silver
3022,United States,USA,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze
3045,Russia,RUS,2004,Summer,Athina,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
3046,Russia,RUS,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
3048,Russia,RUS,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Bronze
3067,Unified Team,EUN,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Heavyweight II,Silver
3070,Nigeria,NGR,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze
3095,United States,USA,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Team",Bronze
3101,Soviet Union,URS,1976,Summer,Montreal,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
3104,Soviet Union,URS,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
3106,Soviet Union,URS,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
3117,Russia,RUS,1996,Summer,Atlanta,Rowing,Rowing Men's Coxed Eights,Bronze
3126,Soviet Union,URS,1980,Summer,Moskva,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
3144,Soviet Union,URS,1976,Summer,Montreal,Sailing,Sailing Mixed Two Person Keelboat,Silver
3148,Syria,SYR,2004,Summer,Athina,Boxing,Boxing Men's Heavyweight,Bronze
3223,Qatar,QAT,2012,Summer,London,Shooting,Shooting Men's Skeet,Bronze
3302,Kuwait,KUW,2000,Summer,Sydney,Shooting,Shooting Men's Double Trap,Bronze
3304,Kuwait,KUW,2012,Summer,London,Shooting,Shooting Men's Trap,Bronze
3306,Individual Olympic Athletes,IOA,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Double Trap,Gold
3354,Saudi Arabia,KSA,2012,Summer,London,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
3360,Saudi Arabia,KSA,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
3437,Pakistan,PAK,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,Gold
3542,United Arab Emirates,UAE,2004,Summer,Athina,Shooting,Shooting Men's Double Trap,Gold
3680,Individual Olympic Athletes,IOA,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Skeet,Bronze
3721,Saudi Arabia,KSA,2012,Summer,London,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
3772,Saudi Arabia,KSA,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres Hurdles,Silver
3833,Spain,ESP,2012,Summer,London,Sailing,Sailing Women's Windsurfer,Gold
3836,Soviet Union,URS,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Silver
3859,Soviet Union,URS,1972,Summer,Munich,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
3870,Pakistan,PAK,1956,Summer,Melbourne,Hockey,Hockey Men's Hockey,Silver
3871,Pakistan,PAK,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Gold
3911,Croatia,CRO,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,Silver
3937,Finland,FIN,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
3940,Finland,FIN,1960,Winter,Squaw Valley,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
3965,Italy,ITA,1968,Summer,Mexico City,Sailing,Sailing Mixed One Person Dinghy,Bronze
3969,Italy,ITA,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,Silver
3972,Italy,ITA,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
3973,Italy,ITA,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,Bronze
3975,Italy,ITA,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
3978,Italy,ITA,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
3995,France-3,FRA,1920,Summer,Antwerpen,Tennis,Tennis Men's Doubles,Bronze
4001,Russia,RUS,2012,Summer,London,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze
4002,Spain,ESP,2000,Summer,Sydney,Football,Football Men's Football,Silver
4007,West Germany,FRG,1984,Summer,Los Angeles,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
4011,Italy,ITA,1976,Summer,Montreal,Water Polo,Water Polo Men's Water Polo,Silver
4015,Union des Socits Franais de Sports Athletiques,FRA,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Gold
4017,Martha-1,FRA,1900,Summer,Paris,Sailing,Sailing Mixed 1-2 Ton,Silver
4018,Martha-1,FRA,1900,Summer,Paris,Sailing,Sailing Mixed 1-2 Ton,Bronze
4025,Hungary,HUN,1960,Summer,Roma,Football,Football Men's Football,Bronze
4067,Spain,ESP,2012,Summer,London,Handball,Handball Women's Handball,Bronze
4073,Denmark,DEN,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
4078,Sweden,SWE,1948,Summer,London,Athletics,"Athletics Men's 10,000 metres",Bronze
4086,Italy,ITA,1968,Summer,Mexico City,Rowing,Rowing Men's Coxless Fours,Bronze
4092,Russia,RUS,2008,Summer,Beijing,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
4111,Switzerland,SUI,1924,Summer,Paris,Rowing,Rowing Men's Coxless Fours,Bronze
4112,Switzerland,SUI,1924,Summer,Paris,Rowing,Rowing Men's Coxed Fours,Gold
4130,East Germany,GDR,1980,Winter,Lake Placid,Speed Skating,"Speed Skating Women's 1,000 metres",Bronze
4146,Switzerland,SUI,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
4151,Sweden,SWE,1976,Summer,Montreal,Sailing,Sailing Mixed Two Person Keelboat,Gold
4156,United States,USA,1952,Winter,Oslo,Figure Skating,Figure Skating Women's Singles,Silver
4157,United States,USA,1956,Winter,Cortina d'Ampezzo,Figure Skating,Figure Skating Women's Singles,Gold
4158,United States,USA,1936,Summer,Berlin,Athletics,Athletics Men's High Jump,Silver
4160,Soviet Union,URS,1960,Summer,Roma,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
4226,Brazil,BRA,1996,Summer,Atlanta,Football,Football Men's Football,Bronze
4227,Cuba,CUB,1976,Summer,Montreal,Boxing,Boxing Men's Light-Welterweight,Silver
4228,Cuba,CUB,1980,Summer,Moskva,Boxing,Boxing Men's Welterweight,Gold
4255,Great Britain,GBR,1920,Summer,Antwerpen,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
4256,Great Britain,GBR,1920,Summer,Antwerpen,Cycling,Cycling Men's 50 kilometres,Silver
4257,Great Britain,GBR,1924,Summer,Paris,Cycling,Cycling Men's 50 kilometres,Silver
4268,United States,USA,1928,Summer,Amsterdam,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
4273,United States,USA,1952,Summer,Helsinki,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
4299,Spain,ESP,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Silver
4304,Spain,ESP,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Silver
4317,New Zealand,NZL,2012,Summer,London,Sailing,Sailing Women's Two Person Dinghy,Gold
4318,New Zealand,NZL,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Two Person Dinghy,Silver
4326,Lithuania,LTU,2000,Summer,Sydney,Athletics,Athletics Men's Discus Throw,Gold
4327,Lithuania,LTU,2004,Summer,Athina,Athletics,Athletics Men's Discus Throw,Gold
4328,Lithuania,LTU,2008,Summer,Beijing,Athletics,Athletics Men's Discus Throw,Bronze
4334,Soviet Union,URS,1976,Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
4360,Bulgaria,BUL,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
4363,Soviet Union,URS,1960,Winter,Squaw Valley,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
4364,Soviet Union,URS,1964,Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
4365,Soviet Union,URS,1968,Winter,Grenoble,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
4366,Soviet Union-2,URS,1984,Winter,Sarajevo,Bobsleigh,Bobsleigh Men's Two,Bronze
4379,Soviet Union,URS,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Quadruple Sculls,Silver
4380,Soviet Union,URS,1980,Summer,Moskva,Rowing,Rowing Women's Double Sculls,Gold
4382,Armenia,ARM,2012,Summer,London,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
4383,Armenia,ARM,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
4404,Soviet Union,URS,1972,Summer,Munich,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
4405,Soviet Union,URS,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
4410,Soviet Union,URS,1964,Summer,Tokyo,Diving,Diving Women's Platform,Bronze
4416,Serbia,SRB,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Bronze
4417,Serbia,SRB,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Gold
4457,Brazil,BRA,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
4458,Brazil,BRA,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
4471,United States,USA,1932,Summer,Los Angeles,Fencing,"Fencing Men's Foil, Team",Bronze
4475,Germany,GER,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxless Fours,Silver
4482,Brazil,BRA,2012,Summer,London,Football,Football Men's Football,Silver
4498,Great Britain,GBR,1908,Summer,London,Lacrosse,Lacrosse Men's Lacrosse,Silver
4507,Canada,CAN,1996,Summer,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
4508,Great Britain,GBR,1960,Summer,Roma,Fencing,"Fencing Men's epee, Team",Silver
4524,Canada,CAN,2000,Summer,Sydney,Rowing,Rowing Women's Coxed Eights,Bronze
4555,France,FRA,1984,Summer,Los Angeles,Judo,Judo Men's Half-Lightweight,Bronze
4556,France,FRA,1988,Summer,Seoul,Judo,Judo Men's Lightweight,Gold
4561,Brazil,BRA,2008,Summer,Beijing,Football,Football Men's Football,Bronze
4562,Brazil,BRA,2012,Summer,London,Football,Football Men's Football,Silver
4569,Romania,ROU,1980,Summer,Moskva,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver
4573,Romania,ROU,1972,Summer,Munich,Boxing,Boxing Men's Heavyweight,Silver
4583,Soviet Union,URS,1976,Summer,Montreal,Diving,Diving Men's Platform,Bronze
4584,Soviet Union,URS,1980,Summer,Moskva,Diving,Diving Men's Platform,Silver
4586,Russia,RUS,2000,Summer,Sydney,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze
4589,Niger,NIG,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Heavyweight,Silver
4600,Soviet Union,URS,1976,Summer,Montreal,Athletics,Athletics Women's Long Jump,Bronze
4612,Spain,ESP,1992,Summer,Barcelona,Football,Football Men's Football,Gold
4623,United States,USA,1984,Summer,Los Angeles,Basketball,Basketball Men's Basketball,Gold
4627,Sweden,SWE,1924,Summer,Paris,Football,Football Men's Football,Bronze
4630,Sweden,SWE,2006,Winter,Torino,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
4632,Sweden,SWE,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
4637,Heatherbell,FIN,1912,Summer,Stockholm,Sailing,Sailing Mixed 12 metres,Bronze
4642,Brazil,BRA,1948,Summer,London,Basketball,Basketball Men's Basketball,Bronze
4645,Brazil,BRA,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Bronze
4646,Sweden,SWE,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
4658,Sweden,SWE,2012,Summer,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
4725,Pakistan,PAK,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,Gold
4727,United States,USA,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres Hurdles,Silver
4732,India,IND,1928,Summer,Amsterdam,Hockey,Hockey Men's Hockey,Gold
4736,India,IND,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Gold
4753,France,FRA,1920,Summer,Antwerpen,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
4765,Iran,IRI,1972,Summer,Munich,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver
4767,France,FRA,1908,Summer,London,Fencing,"Fencing Men's epee, Individual",Gold
4768,France,FRA,1908,Summer,London,Fencing,"Fencing Men's epee, Team",Gold
4784,Russia,RUS,2000,Summer,Sydney,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
4785,Russia,RUS,2004,Summer,Athina,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze
4788,Soviet Union,URS,1980,Winter,Lake Placid,Biathlon,Biathlon Men's 10 kilometres Sprint,Silver
4790,Soviet Union,URS,1980,Winter,Lake Placid,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Gold
4793,Croatia,CRO,2012,Summer,London,Handball,Handball Men's Handball,Bronze
4805,Brazil,BRA,2004,Summer,Athina,Football,Football Women's Football,Silver
4816,Russia,RUS,2004,Summer,Athina,Shooting,Shooting Men's Trap,Gold
4817,Russia,RUS,2008,Summer,Beijing,Shooting,Shooting Men's Trap,Bronze
4821,Greece,GRE,1906,Summer,Athina,Gymnastics,Gymnastics Men's Rope Climbing,Gold
4824,Brazil-1,BRA,2012,Summer,London,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver
4825,Brazil-1,BRA,2016,Summer,Rio de Janeiro,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold
4832,Nigeria,NGR,2004,Summer,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
